event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_FED_HH_HOUSE_2024-03-06;Semiannual Monetary Policy Report — Chair testimony (House Financial Services);US;America/New_York;2024-03-06T10:00;U.S. House Committee on Financial Services;2024-03;High;notice: committee hearing notice posted;https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=409160;2025-09-10T17:53:23Z
US_FED_HH_SENATE_2024-03-07;Semiannual Monetary Policy Report — Chair testimony (Senate Banking);US;America/New_York;2024-03-07T09:40;U.S. Senate Committee on Banking, Housing, and Urban Affairs;2024-03;High;notice: Senate hearing page lists time;https://www.banking.senate.gov/hearings/02/29/2024/the-semiannual-monetary-policy-report-to-the-congress;2025-09-10T17:53:23Z
US_FED_HH_SENATE_2024-07-09;Semiannual Monetary Policy Report — Chair testimony (Senate Banking);US;America/New_York;2024-07-09T10:00;U.S. Senate Committee on Banking, Housing, and Urban Affairs;2024-07;High;notice: Senate hearing page lists time;https://www.banking.senate.gov/hearings/07/08/2024/semiannual-monetary-policy-report-to-the-congress;2025-09-10T17:53:23Z
US_FED_HH_HOUSE_2024-07-10;Semiannual Monetary Policy Report — Chair testimony (House Financial Services);US;America/New_York;2024-07-10T10:00;U.S. House Committee on Financial Services;2024-07;High;notice: committee hearing notice posted;https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=409966;2025-09-10T17:53:23Z
US_JACKSON_HOLE_POWELL_2024-08-23;Jackson Hole Economic Policy Symposium — Chair’s Remarks;US;America/New_York;2024-08-23T10:00;Federal Reserve Board;2024-08;High;"agenda: KC Fed Jackson Hole program; FRB speech release lists 10:00 a.m. EDT (8:00 a.m. MDT)";https://www.federalreserve.gov/newsevents/speech/files/powell20240823a.pdf;2025-09-10T17:53:23Z
