20250801 013600;1.142350;1.142460;1.142340;1.142460;0
20250801 013700;1.142440;1.142440;1.142320;1.142390;0
20250801 013800;1.142400;1.142500;1.142400;1.142500;0
20250801 013900;1.142490;1.142590;1.142490;1.142550;0
20250801 014000;1.142550;1.142600;1.142520;1.142540;0
20250801 014100;1.142520;1.142650;1.142520;1.142630;0
20250801 014200;1.142640;1.142720;1.142640;1.142690;0
20250801 014300;1.142700;1.142760;1.142650;1.142760;0
20250801 014400;1.142730;1.142780;1.142670;1.142770;0
20250801 014500;1.142780;1.142850;1.142700;1.142740;0
20250801 014600;1.142700;1.142730;1.142660;1.142730;0
20250801 014700;1.142760;1.142810;1.142700;1.142770;0
20250801 014800;1.142750;1.142860;1.142730;1.142800;0
20250801 014900;1.142800;1.142920;1.142790;1.142850;0
20250801 015000;1.142870;1.142980;1.142870;1.142970;0
20250801 015100;1.142970;1.143150;1.142960;1.143130;0
20250801 015200;1.143130;1.143160;1.143090;1.143150;0
20250801 015300;1.143160;1.143200;1.143150;1.143180;0
20250801 015400;1.143150;1.143440;1.143150;1.143300;0
20250801 015500;1.143310;1.143310;1.143180;1.143260;0
20250801 015600;1.143250;1.143290;1.143200;1.143220;0
20250801 015700;1.143230;1.143310;1.143200;1.143210;0
20250801 015800;1.143240;1.143250;1.143140;1.143190;0
20250801 015900;1.143200;1.143250;1.143060;1.143070;0
20250801 020000;1.143050;1.143220;1.142970;1.142980;0
20250801 020100;1.142970;1.143010;1.142820;1.142830;0
20250801 020200;1.142840;1.142950;1.142790;1.142900;0
20250801 020300;1.142900;1.143020;1.142790;1.143000;0
20250801 020400;1.143020;1.143070;1.142910;1.143070;0
20250801 020500;1.143050;1.143050;1.142940;1.143030;0
20250801 020600;1.143030;1.143030;1.142850;1.142870;0
20250801 020700;1.142860;1.143100;1.142810;1.143100;0
20250801 020800;1.143110;1.143120;1.142960;1.143120;0
20250801 020900;1.143140;1.143200;1.143070;1.143200;0
20250801 021000;1.143210;1.143390;1.143210;1.143340;0
20250801 021100;1.143350;1.143350;1.143070;1.143070;0
20250801 021200;1.143030;1.143060;1.142950;1.143060;0
20250801 021300;1.143050;1.143150;1.143010;1.143120;0
20250801 021400;1.143130;1.143270;1.143130;1.143170;0
20250801 021500;1.143170;1.143340;1.143170;1.143210;0
20250801 021600;1.143220;1.143320;1.143210;1.143320;0
20250801 021700;1.143300;1.143300;1.143120;1.143210;0
20250801 021800;1.143200;1.143440;1.143200;1.143390;0
20250801 021900;1.143410;1.143430;1.143240;1.143400;0
20250801 022000;1.143400;1.143500;1.143330;1.143370;0
20250801 022100;1.143390;1.143590;1.143380;1.143560;0
20250801 022200;1.143550;1.143580;1.143480;1.143520;0
20250801 022300;1.143510;1.143510;1.143320;1.143410;0
20250801 022400;1.143400;1.143430;1.143350;1.143380;0
20250801 022500;1.143380;1.143560;1.143370;1.143560;0
20250801 022600;1.143540;1.143560;1.143420;1.143430;0
20250801 022700;1.143450;1.143720;1.143450;1.143720;0
20250801 022800;1.143700;1.143700;1.143510;1.143570;0
20250801 022900;1.143560;1.143600;1.143300;1.143380;0
20250801 023000;1.143380;1.143390;1.143280;1.143340;0
20250801 023100;1.143340;1.143370;1.143110;1.143110;0
20250801 023200;1.143100;1.143170;1.143000;1.143110;0
20250801 023300;1.143110;1.143180;1.143110;1.143130;0
20250801 023400;1.143110;1.143340;1.143110;1.143280;0
20250801 023500;1.143300;1.143380;1.143280;1.143370;0
20250801 023600;1.143350;1.143370;1.143260;1.143260;0
20250801 023700;1.143270;1.143620;1.143270;1.143610;0
20250801 023800;1.143600;1.143600;1.143400;1.143410;0
20250801 023900;1.143450;1.143540;1.143420;1.143420;0
20250801 024000;1.143450;1.143670;1.143450;1.143620;0
20250801 024100;1.143610;1.143800;1.143560;1.143640;0
20250801 024200;1.143670;1.143760;1.143630;1.143690;0
20250801 024300;1.143660;1.143690;1.143610;1.143630;0
20250801 024400;1.143620;1.143620;1.143300;1.143300;0
20250801 024500;1.143320;1.143330;1.143200;1.143220;0
20250801 024600;1.143190;1.143300;1.143160;1.143230;0
20250801 024700;1.143240;1.143240;1.143000;1.143060;0
20250801 024800;1.143080;1.143100;1.142950;1.142990;0
20250801 024900;1.142990;1.143030;1.142880;1.142900;0
20250801 025000;1.142890;1.142970;1.142890;1.142900;0
20250801 025100;1.142920;1.142970;1.142840;1.142920;0
20250801 025200;1.142930;1.142960;1.142690;1.142710;0
20250801 025300;1.142720;1.142870;1.142710;1.142760;0
20250801 025400;1.142760;1.142910;1.142670;1.142870;0
20250801 025500;1.142890;1.142920;1.142650;1.142650;0
20250801 025600;1.142650;1.142720;1.142610;1.142610;0
20250801 025700;1.142600;1.142760;1.142600;1.142660;0
20250801 025800;1.142680;1.142960;1.142680;1.142910;0
20250801 025900;1.142920;1.143010;1.142830;1.142920;0
20250801 030000;1.142930;1.143090;1.142870;1.143080;0
20250801 030100;1.143090;1.143390;1.142980;1.143390;0
20250801 030200;1.143400;1.143400;1.143100;1.143210;0
20250801 030300;1.143190;1.143260;1.142770;1.142800;0
20250801 030400;1.142800;1.142860;1.142730;1.142840;0
20250801 030500;1.142800;1.142890;1.142770;1.142830;0
20250801 030600;1.142830;1.143020;1.142830;1.143020;0
20250801 030700;1.143000;1.143010;1.142820;1.142930;0
20250801 030800;1.142940;1.143010;1.142860;1.142950;0
20250801 030900;1.142960;1.143070;1.142960;1.143010;0
20250801 031000;1.142990;1.143010;1.142800;1.143000;0
20250801 031100;1.143000;1.143120;1.142950;1.143020;0
20250801 031200;1.142990;1.142990;1.142900;1.142910;0
20250801 031300;1.142910;1.142920;1.142740;1.142760;0
20250801 031400;1.142740;1.142740;1.142440;1.142480;0
20250801 031500;1.142470;1.142810;1.142470;1.142790;0
20250801 031600;1.142790;1.142800;1.142660;1.142800;0
20250801 031700;1.142800;1.142800;1.142560;1.142620;0
20250801 031800;1.142600;1.142620;1.142440;1.142500;0
20250801 031900;1.142500;1.142600;1.142410;1.142600;0
20250801 032000;1.142570;1.142610;1.142460;1.142500;0
20250801 032100;1.142520;1.142600;1.142510;1.142520;0
20250801 032200;1.142500;1.142620;1.142460;1.142580;0
20250801 032300;1.142570;1.142590;1.142340;1.142440;0
20250801 032400;1.142440;1.142450;1.142180;1.142350;0
20250801 032500;1.142350;1.142600;1.142290;1.142510;0
20250801 032600;1.142470;1.142610;1.142400;1.142610;0
20250801 032700;1.142590;1.142610;1.142480;1.142580;0
20250801 032800;1.142600;1.142850;1.142550;1.142690;0
20250801 032900;1.142680;1.142870;1.142660;1.142850;0
20250801 033000;1.142850;1.143030;1.142760;1.142760;0
20250801 033100;1.142770;1.142780;1.142640;1.142690;0
20250801 033200;1.142680;1.142810;1.142660;1.142720;0
20250801 033300;1.142710;1.142710;1.142360;1.142440;0
20250801 033400;1.142490;1.142540;1.142410;1.142450;0
20250801 033500;1.142440;1.142520;1.142390;1.142410;0
20250801 033600;1.142390;1.142440;1.142230;1.142250;0
20250801 033700;1.142270;1.142270;1.142100;1.142210;0
20250801 033800;1.142230;1.142250;1.141930;1.141930;0
20250801 033900;1.141950;1.142080;1.141930;1.142050;0
20250801 034000;1.142040;1.142310;1.142040;1.142270;0
20250801 034100;1.142250;1.142300;1.142130;1.142260;0
20250801 034200;1.142220;1.142250;1.141980;1.142000;0
20250801 034300;1.141990;1.142080;1.141990;1.142050;0
20250801 034400;1.142040;1.142230;1.142000;1.142120;0
20250801 034500;1.142120;1.142160;1.141950;1.141950;0
20250801 034600;1.141980;1.142020;1.141950;1.141960;0
20250801 034700;1.141980;1.142000;1.141800;1.141870;0
20250801 034800;1.141880;1.141900;1.141790;1.141790;0
20250801 034900;1.141810;1.141870;1.141800;1.141850;0
20250801 035000;1.141860;1.141910;1.141710;1.141910;0
20250801 035100;1.141880;1.141880;1.141580;1.141600;0
20250801 035200;1.141610;1.141610;1.141350;1.141370;0
20250801 035300;1.141360;1.141540;1.141240;1.141510;0
