date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2005-04-27,3.0000,1.0000,,,0,4.0000,177.0000,181
2005-04-28,7.0000,1.0000,,,0,8.0000,199.0000,207
2005-05-01,3.0000,,,,0,3.0000,98.0000,101
2005-05-02,10.0000,2.0000,,,0,12.0000,293.0000,305
2005-05-03,9.0000,1.0000,,,0,10.0000,220.0000,230
2005-05-04,12.0000,2.0000,,,0,14.0000,194.0000,208
2005-05-05,14.0000,1.0000,,,0,15.0000,224.0000,239
2005-05-06,6.0000,,,,0,6.0000,129.0000,135
2005-05-08,8.0000,,,,0,8.0000,87.0000,95
2005-05-09,,1.0000,,,0,1.0000,216.0000,217
2005-05-10,6.0000,1.0000,,,0,7.0000,229.0000,236
2005-05-11,7.0000,1.0000,,,0,8.0000,210.0000,218
2005-05-12,6.0000,1.0000,,,0,7.0000,167.0000,174
2005-05-13,5.0000,,,,0,5.0000,97.0000,102
2005-05-15,4.0000,,,,0,4.0000,77.0000,81
2005-05-16,4.0000,1.0000,,,0,5.0000,212.0000,217
2005-05-17,2.0000,1.0000,,,0,3.0000,224.0000,227
2005-05-18,4.0000,1.0000,,,0,5.0000,215.0000,220
2005-05-19,11.0000,1.0000,,,0,12.0000,231.0000,243
2005-05-20,3.0000,,,,0,3.0000,131.0000,134
2005-05-22,9.0000,,,,0,9.0000,102.0000,111
2005-05-23,19.0000,1.0000,,,0,20.0000,246.0000,266
2005-05-24,4.0000,1.0000,,,0,5.0000,217.0000,222
2005-05-25,7.0000,1.0000,,,0,8.0000,256.0000,264
2005-05-26,5.0000,,1.0000,,0,6.0000,189.0000,195
2005-05-27,1.0000,,,,0,1.0000,157.0000,158
2005-05-29,1.0000,,,,0,1.0000,88.0000,89
2005-05-30,5.0000,,,,0,5.0000,149.0000,154
2005-05-31,2.0000,1.0000,,,0,3.0000,153.0000,156
2005-06-01,,1.0000,,,0,1.0000,115.0000,116
