event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_FED_SEMIANNUAL_MPR_SENATE_2017-02-14;Semiannual Monetary Policy Report to Congress — Senate Testimony;US;America/New_York;2017-02-14T10:00;U.S. Senate Committee on Banking, Housing, and Urban Affairs;2017-02;high;"Chair: Janet L. Yellen; advance_notice";https://www.banking.senate.gov/hearings/2017/02/14/the-semiannual-monetary-policy-report-to-the-congress;2025-09-09T21:58Z
US_FED_SEMIANNUAL_MPR_HOUSE_2017-02-15;Semiannual Monetary Policy Report to Congress — House Testimony;US;America/New_York;2017-02-15T10:00;U.S. House Committee on Financial Services;2017-02;high;"Chair: Janet L. Yellen; advance_notice";https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=401494;2025-09-09T21:58Z
US_FED_SEMIANNUAL_MPR_HOUSE_2017-07-12;Semiannual Monetary Policy Report to Congress — House Testimony;US;America/New_York;2017-07-12T10:00;U.S. House Committee on Financial Services;2017-07;high;"Chair: Janet L. Yellen; advance_notice";https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=402098;2025-09-09T21:58Z
US_FED_SEMIANNUAL_MPR_SENATE_2017-07-13;Semiannual Monetary Policy Report to Congress — Senate Testimony;US;America/New_York;2017-07-13T09:30;U.S. Senate Committee on Banking, Housing, and Urban Affairs;2017-07;high;"Chair: Janet L. Yellen; advance_notice";https://www.banking.senate.gov/hearings/the-semiannual-monetary-policy-report-to-the-congress;2025-09-09T21:58Z
US_FED_JACKSON_HOLE_CHAIR_REMARKS_2017-08-25;Jackson Hole — Chair’s Remarks;US;America/Denver;2017-08-25T08:00;Board of Governors of the Federal Reserve System / Kansas City Fed;2017-08;high;"Chair: Janet L. Yellen; advance_notice";https://www.federalreserve.gov/newsevents/speech/files/yellen20170825a.pdf;2025-09-09T21:58Z
